"","ons_id","constituency_name","All.Ages","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90."
"1","E14000530","Aldershot",106605,1526,1487,1422,1466,1459,1380,1370,1303,1290,1275,1284,1264,1149,1055,1102,1130,1175,1261,1234,1132,1108,1280,1255,1317,1392,1540,1661,1607,1686,1750,1622,1604,1639,1607,1597,1679,1602,1614,1461,1440,1588,1592,1605,1611,1597,1579,1508,1639,1617,1592,1679,1598,1560,1543,1425,1402,1292,1243,1167,1161,1039,985,974,980,874,964,895,955,1020,1129,798,831,809,784,650,629,570,596,555,550,432,430,415,318,307,264,276,245,220,175,713
"2","E14000531","Aldridge-Brownhills",77533,779,814,809,825,790,867,837,916,858,856,879,826,839,833,826,848,913,909,886,784,712,730,807,820,838,856,902,843,871,812,803,852,793,864,836,808,870,848,756,746,824,876,903,975,1128,1148,1168,1177,1221,1233,1253,1203,1200,1188,1223,1137,1019,990,1050,993,917,846,852,837,815,831,911,1009,1008,1086,920,944,952,871,850,744,727,769,790,694,607,548,473,487,475,424,388,290,261,209,828
"3","E14000532","Altrincham and Sale West",100942,1229,1138,1271,1224,1396,1395,1382,1445,1444,1369,1434,1428,1326,1388,1275,1193,1237,1284,1236,770,636,759,836,849,933,992,942,942,1038,966,1066,1164,1252,1160,1277,1438,1335,1417,1389,1363,1407,1525,1480,1513,1735,1608,1567,1573,1572,1488,1541,1571,1546,1551,1477,1297,1258,1242,1281,1133,1108,1111,1059,972,980,1028,1070,1049,1138,1123,920,933,965,835,740,659,719,726,705,637,599,558,529,460,481,449,431,350,299,290,1036
"4","E14000533","Amber Valley",89363,887,926,906,1007,955,1011,1036,888,981,993,968,904,908,905,937,876,972,1021,977,867,856,864,967,1048,1088,1135,1028,1013,1037,994,1033,1078,970,1056,1048,1077,1146,1014,895,977,1012,1058,1140,1183,1386,1351,1338,1442,1360,1439,1357,1433,1375,1419,1266,1218,1207,1228,1145,1175,1182,1127,1147,1146,1114,1131,1195,1264,1316,1410,1027,994,1042,925,822,714,652,697,617,579,514,482,438,410,368,331,321,290,233,221,873
"5","E14000534","Arundel and South Downs",99415,796,895,879,946,1042,1085,1118,1116,1071,1131,1155,1134,1169,1179,1030,1089,1120,1152,1138,824,695,697,772,760,736,751,715,740,678,647,715,689,749,734,874,929,965,1003,946,886,1000,1053,1211,1322,1449,1455,1384,1472,1548,1612,1629,1653,1618,1650,1554,1500,1425,1459,1453,1398,1364,1408,1382,1362,1378,1366,1451,1487,1653,1835,1449,1365,1373,1317,1131,951,1071,1006,1001,864,847,794,716,679,629,649,555,499,422,376,1440
"6","E14000535","Ashfield",105402,1194,1193,1229,1285,1334,1363,1276,1272,1212,1217,1217,1148,1116,1135,1095,1126,1148,1258,1226,1136,1121,1035,1204,1174,1259,1350,1336,1343,1379,1339,1299,1253,1179,1262,1196,1295,1248,1198,1150,1119,1191,1195,1289,1387,1535,1540,1558,1592,1588,1624,1617,1682,1597,1681,1473,1516,1491,1470,1304,1279,1239,1266,1262,1265,1233,1214,1272,1264,1365,1394,1097,1152,1175,1128,905,800,809,776,725,697,601,566,478,469,425,393,325,299,243,219,818
"7","E14000536","Ashford",120996,1459,1558,1497,1639,1645,1631,1597,1630,1632,1590,1511,1499,1530,1514,1500,1549,1434,1491,1450,1311,1081,1182,1176,1394,1480,1409,1395,1435,1449,1462,1418,1452,1412,1419,1397,1384,1461,1491,1442,1397,1416,1450,1587,1656,1693,1801,1855,1885,1898,1875,1925,1851,1868,1732,1720,1637,1487,1467,1378,1315,1272,1276,1232,1234,1298,1266,1309,1385,1566,1682,1258,1217,1200,1148,926,785,889,810,767,721,643,636,585,499,538,478,390,353,317,268,1149
"8","E14000537","Ashton-under-Lyne",92015,1277,1211,1253,1234,1278,1207,1242,1130,1152,1104,1084,1107,1085,941,1021,1058,1040,1110,1058,1004,983,1021,1108,1225,1287,1322,1221,1335,1301,1249,1293,1260,1224,1254,1270,1186,1176,1106,951,975,1042,1067,1097,1159,1255,1319,1352,1361,1371,1396,1406,1400,1411,1325,1328,1319,1192,1171,1158,1099,982,955,944,950,921,953,950,916,1030,1147,785,812,800,810,683,621,650,567,609,561,475,425,400,353,367,329,269,211,173,149,647
"9","E14000538","Aylesbury",120692,1739,1704,1696,1766,1820,1786,1714,1676,1679,1585,1488,1414,1421,1310,1323,1318,1357,1426,1365,1191,1229,1230,1253,1366,1421,1631,1578,1682,1716,1715,1762,1780,1669,1780,1776,1852,1870,1827,1751,1736,1652,1634,1767,1707,1706,1801,1799,1779,1818,1825,1833,1771,1829,1678,1591,1569,1532,1311,1408,1246,1141,1177,1160,1141,1141,1103,1024,1167,1106,1295,877,937,929,835,807,653,681,658,621,607,587,570,489,463,426,388,320,317,270,231,913
"10","E14000539","Banbury",121725,1598,1540,1482,1552,1579,1749,1605,1643,1684,1666,1508,1479,1401,1425,1304,1440,1504,1554,1417,1108,995,1122,1179,1248,1372,1364,1401,1474,1570,1569,1713,1781,1694,1789,1746,1760,1793,1691,1622,1517,1502,1677,1706,1759,1872,1759,1881,1912,1810,1841,1954,1847,1878,1796,1707,1580,1646,1471,1425,1375,1330,1265,1161,1221,1182,1251,1246,1293,1345,1397,1073,1096,1042,1019,864,724,753,791,734,672,612,618,497,455,432,447,377,339,274,246,933
